MovieName,tags
Mouna Guru,Action Santha Kumar Arulnithi
7 Aum Arivu,Action A.R. Murugadoss Suriya
Vaagai Sooda Vaa,Comedy A. Sarkunam Vimal
Mankatha,Action Venkat Prabhu Ajith Kumar
Kanchana: Muni 2,Comedy Lawrence Raghavendra Lawrence Raghavendra
Deiva Thirumagal,Drama A.L. Vijay Vikram
Vaanam,Action Radha Krishna Jagarlamudi T.R. Silambarasan
Ko,Action K.V. Anand Jiiva
Payanam,Action Radha Mohan Nagarjuna Akkineni
Yutham Sei,Crime Myshkin Cheran
Aadukalam,Action Vetrimaaran Dhanush
Naduvula Konjam Pakkatha Kaanom,Comedy Balaji Tharaneetharan Vijay Sethupathi
Thuppakki,Action A.R. Murugadoss Joseph Vijay
Pizza,Horror Karthik Subbaraj Vijay Sethupathi
Naan,Crime Jeeva Shankar Vijay Antony
The Fly,Action S.S. Rajamouli J.V.V. Sathyanarayana
Kalakalappu,Comedy Sundar C. Vimal
Vazhakku Enn 18/9,Crime Balaji Sakthivel Sri
Kumki,Drama Prabu Solomon Vikram Prabhu
Neethaane En Ponvasantham,Romance Gautham Vasudev Menon Jiiva
Thalaimuraigal,Drama Balu Mahendra Karthick
Biriyani,Action Venkat Prabhu Karthi
Ivan Veramaathiri,Action M. Saravanan Vikram Prabhu
Kalyana Samayal Saadham,Comedy R.S. Prasanna Prasanna
Irandam Ulagam,Action K. Selvaraghavan Arya
Pandiya Naadu,Action Suseenthiran Vishal
Arrambam,Action Vishnuvardhan Ajith Kumar
Onaayum Aattukkuttiyum,Action Myshkin Myshkin
Raja Rani,Comedy Atlee Kumar Arya
6 Candles,Thriller V.Z. Dhorai Sandra Amy
Moodar Koodam,Comedy Naveen Naveen
Varuthapadatha Valibar Sangam,Comedy Ponram Sivakarthikeyan
Thanga Meengal,Drama Ram Ram
Aadhalal Kadhal Seiveer,Romance Suseenthiran Santhosh Ramesh
Maryan,Adventure Ganapathy Bharat Dhanush
Singam 2,Action Hari Suriya
Theeya Velai Seiyyanum Kumaru,Comedy Sundar C. Siddharth
Neram,Action Alphonse Puthren Nivin Pauly
Soodhu Kavvum,Comedy Nalan Kumarasamy Vijay Sethupathi
Ethir Neechal,Comedy R.S. Durai Senthilkumar Sivakarthikeyan
Kedi Billa Killadi Ranga,Comedy Pandiraj Vimal
Paradesi,Drama Bala Atharvaa Murali
Kaakkaa Muttai,Comedy M. Manikandan Ramesh
Kayal,Romance Prabu Solomon Chandran
Pisasu,Horror Myshkin Naga
Lingaa,Action K.S. Ravikumar Rajinikanth
Kaaviya Thalaivan,Drama Vasanthabalan Siddharth
Kaththi,Action A.R. Murugadoss Joseph Vijay
Jeeva,Drama Suseenthiran Vishnu Vishal
Madras,Action Pa. Ranjith Karthi
Kathai Thiraikathai Vasanam Iyakkam,Drama Parthiban Thambi Ramaiah
Jigarthanda,Action Karthik Subbaraj Siddharth
Velaiilla Pattadhari,Action Velraj Dhanush
Sathuranga Vettai,Crime H. Vinoth Nataraja Subramanian
Saivam,Drama A.L. Vijay Nassar
Mundaasupatti,Comedy Ram Kumar Vishnu Vishal
Kochadaiiyaan,Animation Soundarya R. Ashwin Rajinikanth
Vaayai Moodi Pesavum,Comedy Balaji Mohan Dulquer Salmaan
Cuckoo,Drama Raju Murugan Dinesh
Thegidi,Crime P. Ramesh Ashok Selvan
Pannaiyarum Padminiyum,Comedy S.U. Arun Kumar Vijay Sethupathi
Goli Soda,Action Vijay Milton Kishore Kumar G.
Veeram,Action Siva Ajith Kumar
Rajini Murugan,Action Ponram Sivakarthikeyan
Visaaranai,Crime Vetrimaaran Dinesh
Pasanga 2,Drama Pandiraj Suriya
Thoongaavanam,Action Rajesh M. Selva Kamal Haasan
Naanum Rowdy Thaan,Action Vignesh Shivan Vijay Sethupathi
Kuttram Kadithal,Drama Bramma G. Master Ajay
